,Ttile,Summmary,DateTime,URL
23,"Global airlines face emergency, need rescue package now: IATA","The coronavirus pandemic could spell ""apocalypse"" in the airline industry without urgent government aid, the global aviation association said Tuesday, warning ...",2020-03-25T07:56:11Z,https://www.news.google.com/./articles/CAIiEMtOyoZFhbCTxeIt2nct-TwqGQgEKhAIACoHCAow7pf_CjDdlfgCMMOe6gU?hl=en-IN&gl=IN&ceid=IN%3Aen
24,Facing difficulties in running factories for production of essential items: HUL,India's largest consumer goods maker is the only one among peers that is still trading higher year-to-date even as stocks have tumbled as the Covid-19 ...,2020-03-25T03:38:46Z,https://www.news.google.com/./articles/CAIiEB7QJM4v1qrY4VhRY2FF0j4qGQgEKhAIACoHCAowqvSQCzD0nKUDMM3htQY?hl=en-IN&gl=IN&ceid=IN%3Aen
25,None,None,None,None
26,None,None,None,None
27,None,None,None,None
28,None,None,None,None
29,None,None,None,None
30,Market may see relief rally; Morgan Stanley cuts target of 3 stocks,"Morgan Stanley slashed earnings forecast for a third time after the virus outbreak which led to a cut in the Sensex target from 36,000 earlier to 32,000 in the base ...",2020-03-25T05:01:00Z,https://www.news.google.com/./articles/CBMilgFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy9tb3JnYW4tc3RhbmxleS1jdXRzLXNlbnNleC10YXJnZXQtdG8tMzIwMDAtZm9yLXllYXItZW5kLTIwLXN0b2Nrcy1maWd1cmUtb24tZm9jdXMtbGlzdC01MDY4OTYxLmh0bWzSAZoBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL2J1c2luZXNzL21hcmtldHMvbW9yZ2FuLXN0YW5sZXktY3V0cy1zZW5zZXgtdGFyZ2V0LXRvLTMyMDAwLWZvci15ZWFyLWVuZC0yMC1zdG9ja3MtZmlndXJlLW9uLWZvY3VzLWxpc3QtNTA2ODk2MS5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen
31,Coronavirus pandemic: Excise duty on petrol and diesel to be hiked,"The government has decided to raise excise duty on petrol and diesel significantly, by upto ₹8 per litre, to mobilise additional resources that would be required ...",2020-03-24T04:49:52Z,https://www.news.google.com/./articles/CBMijAFodHRwczovL2F1dG8uaGluZHVzdGFudGltZXMuY29tL2F1dG8vbmV3cy9jb3JvbmF2aXJ1cy1leGNpc2Utb24tZnVlbHMtbWF5LWdvLXVwLWJ5LXVwdG8tcnMtOC1wZXItbGl0cmUtdG8tZmlnaHQtY292aWQtMTktNDE1ODUwMjUxOTc1ODIuaHRtbNIBkAFodHRwczovL2F1dG8uaGluZHVzdGFudGltZXMuY29tL2F1dG8vbmV3cy9jb3JvbmF2aXJ1cy1leGNpc2Utb24tZnVlbHMtbWF5LWdvLXVwLWJ5LXVwdG8tcnMtOC1wZXItbGl0cmUtdG8tZmlnaHQtY292aWQtMTkvYW1wLTQxNTg1MDI1MTk3NTgyLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen
32,"#Coronavirus Impact: ICICI, HDFC, SBI Will Deliver Cash At Your Home (Find Out How?)","The correction in the markets, and especially in the banking setcor, has indeed been brutal. We have never seen this type of hammering in the large-cap names ...",2020-03-24T06:46:04Z,https://www.news.google.com/./articles/CAIiEOT4bdTXgTywXJsHn7Z43qYqGQgEKhAIACoHCAowsLXdCjCm3dEBMNS-swY?hl=en-IN&gl=IN&ceid=IN%3Aen
